name,series_len,max_shape,min_shapes,avg_shape,std_shape,indx_max,indx_min,pos_max,pos_min,num_crops,num_peaks,num_zero_len,Q1,Q3,IQR,max_x_raw,min_x_raw,max_x_filtered,min_x_filtered,Q1-1.5IQR,Q3+1.5IQR,Q1-3IQR,Q3+3IQR,90thP,10thP,95thP,05thP,01thP,99thP,below_1.5IQR,above_1.5IQR,below_3IQR,above_3IQR,below_10th,above_90th,below_05th,above_95th,below_01th,above_99th
S001_128.mat,230388,284,32,88,15,2602,2166,230387,190587,2603,2603,0,81.0,95.0,14.0,195.370105631783,-236.174898055547,167.11699611589145,-120.00271121962942,60.0,116.0,39.0,137.0,104.0,73.0,113.0,62.0,48.0,134.0,98,95,5,23,259,260,117,128,24,26
S002_128.mat,230335,265,37,98,18,2348,1183,230333,117669,2349,2349,0,94.0,105.0,11.0,33.522386856883,-48.4081265132571,29.511427716392703,-32.740891085901374,77.5,121.5,61.0,138.0,119.0,74.0,127.0,60.0,47.0,148.0,292,186,120,50,231,216,97,110,23,23
S003_128.mat,230295,306,35,119,22,1931,1780,230294,211628,1932,1932,0,111.0,127.0,16.0,482.089074845396,-509.275654777422,300.0184862217039,-341.72838859043577,87.0,151.0,63.0,175.0,144.0,92.0,158.0,78.0,56.0,180.69000000000005,149,140,34,29,192,186,90,96,18,20
S004_128.mat,230371,326,34,130,36,1758,1731,230370,226191,1759,1759,0,106.0,149.0,43.0,339.225949881679,-258.657640597909,241.96766420329493,-254.44690085726376,41.5,213.5,-23.0,278.0,173.0,83.0,191.0999999999999,64.9,47.0,223.42000000000007,7,32,0,2,173,173,88,88,16,18
S005_128.mat,230308,243,27,85,18,2686,1015,230307,96378,2687,2687,0,76.0,95.0,19.0,225.916196281799,-224.446924919614,143.87220090977468,-161.4900307399365,47.5,123.5,19.0,152.0,108.0,64.0,119.0,56.0,43.0,140.13999999999987,52,95,0,10,261,260,132,129,20,27
S006_128.mat,230285,273,34,105,17,2176,1171,230284,122378,2177,2177,0,100.0,111.0,11.0,142.967453142542,-105.726862967637,89.07502696047118,-72.7098408556769,83.5,127.5,67.0,144.0,122.0,89.0,135.0,78.0,53.0,158.23999999999978,152,169,59,64,204,217,108,106,19,22
S007_128.mat,230312,278,26,76,26,2996,1864,230311,143841,2997,2997,0,55.0,96.0,41.0,281.585121352316,-226.977475107615,194.44914608832931,-164.52531815185228,-6.5,157.5,-68.0,219.0,113.0,51.0,121.0,46.0,33.0,151.0,0,17,0,1,284,281,142,147,26,28
S008_128.mat,230277,285,35,98,17,2343,2247,230276,220822,2344,2344,0,89.0,106.0,17.0,29.7656391467462,-33.1333073599693,23.838164172534917,-19.52752558215836,63.5,131.5,38.0,157.0,116.0,80.0,128.0,71.0,55.0,149.0,63,83,1,10,234,234,117,113,22,21
S009_128.mat,230293,264,35,95,16,2415,1184,230292,113095,2416,2416,0,91.0,101.0,10.0,36.6868269984342,-40.8439621585918,19.155409664123113,-22.180600233076795,76.0,116.0,61.0,131.0,111.0,77.0,121.0,66.75,46.150000000000006,139.8499999999999,207,162,87,49,231,231,121,114,25,25
S010_128.mat,230356,249,32,80,16,2857,1240,230355,98881,2858,2858,0,73.0,88.0,15.0,64.3098389041288,-60.1489032080298,38.67955591236239,-48.07681596936518,50.5,110.5,28.0,133.0,97.0,58.0,107.0,51.0,40.57,126.0,140,111,0,8,264,283,140,142,29,24
