name,series_len,max_shape,min_shapes,avg_shape,std_shape,indx_max,indx_min,pos_max,pos_min,num_crops,num_peaks,num_zero_len,Q1,Q3,IQR,max_x_raw,min_x_raw,max_x_filtered,min_x_filtered,Q1-1.5IQR,Q3+1.5IQR,Q1-3IQR,Q3+3IQR,90thP,10thP,95thP,05thP,below_1.5IQR,above_1.5IQR,below_3IQR,above_3IQR,below_10th,above_90th,below_05th,above_95th
S001_128.mat,230388,167,17,88,15,2579,2601,228156,230017,2603,2603,0,81.0,95.0,14.0,195.370105631783,-236.174898055547,1.0,0.0,60.0,116.0,39.0,137.0,104.0,73.0,113.0,62.0,99,94,6,22,260,259,118,127
S002_128.mat,230335,169,37,97,18,1359,1183,134997,117669,2349,2349,1,94.0,105.0,11.0,33.522386856883,-48.4081265132571,1.0,0.0,77.5,121.5,61.0,138.0,119.0,74.0,127.0,60.0,293,186,122,50,233,216,99,110
S003_128.mat,230295,220,35,119,22,1641,1780,194762,211628,1932,1932,1,111.0,127.0,16.0,482.089074845396,-509.275654777422,1.0,0.0,87.0,151.0,63.0,175.0,144.0,92.0,158.0,78.0,150,139,35,28,193,185,91,95
S004_128.mat,230371,290,34,130,35,974,1731,117466,226191,1759,1759,1,106.5,149.0,42.5,339.225949881679,-258.657640597909,0.9999999999999998,0.0,42.75,212.75,-21.0,276.5,173.0,82.80000000000001,191.0,64.0,9,33,0,1,176,172,87,87
S005_128.mat,230308,169,27,85,18,1021,1015,96968,96378,2687,2687,1,76.0,95.0,19.0,225.916196281799,-224.446924919614,1.0000000000000002,0.0,47.5,123.5,19.0,152.0,108.0,64.0,119.0,56.0,53,94,1,9,261,259,133,128
S006_128.mat,230285,178,34,105,16,1230,1171,128782,122378,2177,2177,1,100.0,111.0,11.0,142.967453142542,-105.726862967637,1.0,0.0,83.5,127.5,67.0,144.0,122.0,89.0,135.0,77.80000000000001,152,168,60,63,204,216,109,105
S007_128.mat,230312,186,26,76,26,206,1334,20770,113309,2997,2997,2,55.0,96.0,41.0,281.585121352316,-226.977475107615,1.0,0.0,-6.5,157.5,-68.0,219.0,113.0,51.0,121.0,46.0,0,16,0,0,288,280,147,146
S008_128.mat,230277,172,35,98,16,374,2247,39507,220822,2344,2344,1,89.0,106.0,17.0,29.7656391467462,-33.1333073599693,1.0,0.0,63.5,131.5,38.0,157.0,116.0,80.0,127.84999999999991,70.15,64,82,2,9,234,233,118,118
S009_128.mat,230293,168,35,95,15,1720,1184,164812,113095,2416,2416,1,91.0,101.0,10.0,36.6868269984342,-40.8439621585918,1.0,0.0,76.0,116.0,61.0,131.0,111.0,77.0,121.0,66.0,208,161,88,48,232,230,118,113
S010_128.mat,230356,158,32,80,16,1383,1240,110294,98881,2858,2858,1,73.0,88.0,15.0,64.3098389041288,-60.1489032080298,0.9999999999999999,0.0,50.5,110.5,28.0,133.0,97.0,58.0,107.0,51.0,142,111,1,8,266,283,142,142
S011_128.mat,230213,209,31,117,23,1564,1227,179490,137845,1957,1957,1,104.0,132.0,28.0,38.9544882933137,-38.8749855545264,1.0,0.0,62.0,174.0,20.0,216.0,143.0,85.0,152.0,78.0,26,20,1,0,190,193,94,97
S012_128.mat,230285,272,39,137,26,1627,1530,223069,206426,1668,1668,1,123.0,152.0,29.0,33.9910323176108,-60.5410961612139,1.0,0.0,79.5,195.5,36.0,239.0,171.0,110.0,183.0,97.35000000000001,37,42,1,2,158,163,84,83
S013_128.mat,230209,250,33,134,24,0,280,250,37235,1706,1706,1,128.0,144.0,16.0,118.030969031552,-183.40071894841,1.0,0.0,104.0,168.0,80.0,192.0,157.0,105.5,170.0,82.0,157,96,79,35,171,167,84,84
S014_128.mat,230341,153,32,79,13,1297,160,104958,12916,2880,2880,1,74.0,86.0,12.0,39.0119676863483,-35.9376486697938,1.0,0.0,56.0,104.0,38.0,122.0,96.0,64.0,105.0,54.0,155,145,4,21,282,275,134,131
S015_128.mat,230279,221,21,105,27,594,1935,72267,206741,2185,2185,1,90.0,120.0,30.0,271.740037916008,-255.550254084128,1.0,0.0,45.0,165.0,0.0,210.0,141.0,73.0,153.0,59.0,33,62,0,7,207,216,107,106
S016_128.mat,230346,162,31,91,18,1023,72,84968,5371,2506,2506,1,80.0,102.0,22.0,50.9547436889316,-57.6925611614251,1.0,0.0,47.0,135.0,14.0,168.0,110.0,66.0,121.0,57.0,36,54,1,0,249,238,120,125
S017_128.mat,230312,153,34,79,13,1212,688,93580,55038,2884,2884,1,76.0,84.0,8.0,25.3825623650511,-19.8732321042236,0.9999999999999998,0.0,64.0,96.0,52.0,108.0,92.0,62.0,102.0,55.0,303,206,103,86,266,271,144,139
S018_128.mat,230342,198,39,116,19,1107,1859,129146,216426,1978,1978,1,111.0,123.0,12.0,212.483154210455,-219.781052797115,1.0,0.0,93.0,141.0,75.0,159.0,136.0,92.0,150.0,80.0,202,135,63,52,192,185,91,92
S019_128.mat,230332,190,25,86,18,1910,2153,166456,187056,2661,2661,2,78.0,95.0,17.0,139.428565004942,-141.175196698761,1.0,0.0,52.5,120.5,27.0,146.0,108.0,61.0,117.0,53.0,128,98,4,12,264,257,128,125
S020_128.mat,230435,132,24,65,12,1351,1250,83154,76319,3539,3539,2,57.0,72.0,15.0,220.736865259675,-163.795578617225,1.0,0.0,34.5,94.5,12.0,117.0,80.0,51.0,86.0,46.0,29,74,2,6,338,344,173,176
S021_128.mat,230323,186,27,90,20,1471,848,129449,74371,2556,2556,1,80.0,99.0,19.0,216.754731436751,-178.896338017718,1.0,0.0,51.5,127.5,23.0,156.0,111.0,60.0,123.0,52.0,117,100,1,12,251,243,117,120
S022_128.mat,230312,221,51,128,22,1469,1030,182173,123942,1793,1793,1,114.0,142.0,28.0,30.5879930872971,-39.2173652590065,1.0,0.0,72.0,184.0,30.0,226.0,158.0,104.0,165.0,94.0,12,26,1,0,164,167,86,89
S023_128.mat,230264,206,30,121,23,567,825,68631,100179,1900,1900,1,113.0,131.0,18.0,275.491187767075,-193.032037005405,0.9999999999999999,0.0,86.0,158.0,59.0,185.0,147.0,94.0,160.0,74.95,137,102,45,20,186,188,95,91
S024_128.mat,230458,153,20,85,14,2472,2703,210061,230091,2705,2705,0,81.0,92.0,11.0,124.967406262803,-98.9318755487679,1.0,0.0,64.5,108.5,48.0,125.0,99.0,69.0,108.0,56.0,225,132,54,36,260,257,123,132
S025_128.mat,230333,159,34,90,14,227,1853,21770,166771,2541,2541,1,86.0,97.0,11.0,24.9913603501306,-22.8270051860454,1.0,0.0,69.5,113.5,53.0,130.0,103.0,74.0,110.0,56.0,201,103,87,31,244,233,115,125
S026_128.mat,230371,137,27,73,14,1295,2973,95942,218821,3130,3130,1,64.0,81.0,17.0,136.142521029633,-153.300409076849,0.9999999999999999,0.0,38.5,106.5,13.0,132.0,90.0,54.0,98.0,48.0,29,68,1,3,308,303,155,144
S027_128.mat,230323,177,29,95,26,2211,953,210265,89108,2415,2415,1,67.5,115.0,47.5,65.3181310517789,-50.1708953499107,1.0,0.0,-3.75,186.25,-75.0,257.5,127.0,61.0,135.0,55.0,0,0,0,0,235,228,112,120
S028_128.mat,230297,245,38,136,20,1658,394,227109,52100,1681,1681,1,130.0,144.0,14.0,214.611695542291,-199.009047449642,1.0,0.0,109.0,165.0,88.0,186.0,159.0,114.0,172.0,100.0,125,118,34,39,165,159,78,81
S029_128.mat,230289,180,29,100,24,1920,1670,191755,166879,2295,2295,1,88.0,113.0,25.0,627.595770147794,-581.177547400369,1.0,0.0,50.5,150.5,13.0,188.0,124.0,60.0,137.0,56.0,72,54,1,0,218,213,107,114
S030_128.mat,230359,181,29,87,19,1803,2547,155762,222979,2625,2625,0,76.0,99.0,23.0,280.329374234776,-391.249091627796,1.0,0.0,41.5,133.5,7.0,168.0,111.0,62.0,122.0,55.0,23,55,0,2,255,256,125,120
S031_128.mat,230309,185,38,103,17,1551,1788,160656,184688,2228,2228,1,97.0,110.0,13.0,252.418536487305,-338.393266576863,0.9999999999999999,0.0,77.5,129.5,58.0,149.0,124.0,81.70000000000002,133.6500000000001,72.0,176,154,42,34,223,212,105,112
S032_128.mat,230299,198,17,106,25,1472,1376,151355,139898,2158,2158,1,102.0,118.0,16.0,24.5069678798895,-30.0428582888279,1.0,0.0,78.0,142.0,54.0,166.0,129.0,64.0,140.0,50.0,298,95,138,16,213,213,102,103
S033_128.mat,230443,184,1,54,11,2613,2244,137186,121675,4256,4256,34,49.0,59.0,10.0,42.1499716887824,-48.5662604821342,1.0,0.0,34.0,74.0,19.0,89.0,65.0,42.0,71.0,33.0,221,140,47,29,419,393,194,190
S034_128.mat,230158,221,46,125,25,176,1621,25309,202357,1839,1839,1,113.0,141.0,28.0,128.21246132512,-100.710883309743,1.0,0.0,71.0,183.0,29.0,225.0,152.0,95.80000000000001,170.0,76.0,71,56,1,0,184,183,90,86
S035_128.mat,230162,231,32,129,18,1041,904,132242,115486,1771,1771,1,123.0,137.0,14.0,38.6287067508203,-41.519805034205,1.0,0.0,102.0,158.0,81.0,179.0,147.0,112.0,159.0,99.0,99,90,39,26,173,168,86,86
S036_128.mat,230334,151,17,73,15,66,3118,5006,229949,3121,3121,0,65.0,81.0,16.0,60.3933051783111,-78.5235383117596,0.9999999999999998,0.0,41.0,105.0,17.0,129.0,91.0,53.0,99.0,47.0,44,96,0,6,307,303,128,154
S037_128.mat,230420,1603,45,125,38,1640,685,204288,83366,1835,1835,1,118.0,131.0,13.0,13.7847430708267,-17.3472626412129,1.0,0.0,98.5,150.5,79.0,170.0,142.0,106.0,151.0,100.0,86,94,21,29,181,179,91,88
S038_128.mat,230355,124,35,80,10,17,685,1519,56111,2850,2850,1,78.0,83.0,5.0,40.6308342053323,-34.3880647401063,1.0,0.0,70.5,90.5,63.0,98.0,89.0,72.0,97.0,62.0,252,252,148,132,274,274,140,142
S039_128.mat,230235,195,30,107,18,1067,885,111390,92865,2138,2138,1,99.0,117.0,18.0,168.062286203,-167.414698067466,1.0,0.0,72.0,144.0,45.0,171.0,127.0,87.0,137.0,76.0,80,58,5,8,211,210,99,99
S040_128.mat,230315,212,22,72,25,0,1730,212,133966,3159,3159,2,53.0,96.0,43.0,11.9023928246983,-11.9375151933749,1.0,0.0,-11.5,160.5,-76.0,225.0,109.0,50.0,118.0,46.0,0,5,0,0,279,302,145,152
S041_128.mat,230426,146,36,82,11,131,803,10771,65382,2795,2795,1,81.0,86.0,5.0,14.6864651986517,-13.4803277310718,1.0,0.0,73.5,93.5,66.0,101.0,93.0,71.0,98.0,53.0,312,231,238,106,267,231,101,135
S042_128.mat,230261,160,32,86,18,2235,2354,193489,203699,2658,2658,1,78.0,95.0,17.0,284.231417760909,-262.161817681247,1.0,0.0,52.5,120.5,27.0,146.0,109.0,59.0,119.0,52.0,141,114,1,6,256,262,127,125
S043_128.mat,230317,172,23,86,19,883,1764,88738,163261,2675,2675,1,72.0,101.0,29.0,70.7656923464925,-80.7897548960833,1.0,0.0,28.5,144.5,-15.0,188.0,111.0,62.0,117.0,57.0,3,19,0,0,239,249,131,130
S044_128.mat,230206,191,34,111,19,0,1638,191,182850,2065,2065,1,105.0,119.0,14.0,14.790865093645,-14.902318775454,1.0,0.0,84.0,140.0,63.0,161.0,132.0,86.0,147.0,77.0,165,133,59,38,197,205,102,98
S045_128.mat,230379,173,19,91,20,458,2275,40620,206359,2525,2525,1,78.0,104.0,26.0,41.0536378108517,-63.1963084057702,1.0,0.0,39.0,143.0,0.0,182.0,116.0,65.0,125.0,57.0,11,33,0,0,245,243,119,123
